,ds,y
0,2018-04-26,566.0
1,2018-04-27,1752.0
2,2018-04-28,1124.0
3,2018-04-29,602.0
4,2018-04-30,540.0
5,2018-05-01,1068.0
6,2018-05-02,419.0
7,2018-05-03,1006.0
8,2018-05-04,269.0
9,2018-05-05,326.0
10,2018-05-06,506.0
11,2018-05-07,283.0
12,2018-05-08,410.0
13,2018-05-09,8.0
14,2018-05-10,924.0
15,2018-05-11,727.0
16,2018-05-12,1113.0
17,2018-05-13,394.0
18,2018-05-14,794.0
19,2018-05-15,1011.0
20,2018-05-16,1396.0
21,2018-05-17,897.0
22,2018-05-18,2549.0
23,2018-05-19,2228.0
24,2018-05-20,978.0
25,2018-05-21,932.0
26,2018-05-22,1460.0
27,2018-05-23,1765.0
28,2018-05-24,723.0
29,2018-05-25,1127.0
30,2018-05-26,999.0
31,2018-05-27,1260.0
32,2018-05-28,922.0
33,2018-05-29,1427.0
34,2018-05-30,1264.0
35,2018-05-31,1349.0
36,2018-06-01,1527.0
37,2018-06-02,752.0
38,2018-06-03,1834.0
39,2018-06-04,1530.0
40,2018-06-05,1022.0
41,2018-06-06,0.0
42,2018-06-07,0.0
43,2018-06-08,389.0
44,2018-06-09,780.0
45,2018-06-10,1549.0
46,2018-06-11,0.0
47,2018-06-12,1241.0
48,2018-06-13,1333.0
49,2018-06-14,1684.0
50,2018-06-15,1586.0
51,2018-06-16,1422.0
52,2018-06-17,791.0
53,2018-06-18,1298.0
54,2018-06-19,1500.0
55,2018-06-20,1211.0
56,2018-06-21,1388.0
57,2018-06-22,1278.0
58,2018-06-23,1079.0
59,2018-06-24,1450.0
60,2018-06-25,1032.0
61,2018-06-26,0.0
62,2018-06-27,0.0
63,2018-06-28,0.0
64,2018-06-29,39.0
65,2018-06-30,0.0
66,2018-07-01,1125.0
67,2018-07-02,67.0
68,2018-07-03,0.0
69,2018-07-04,42.0
70,2018-07-05,10.0
71,2018-07-06,0.0
72,2018-07-07,1289.0
73,2018-07-08,1196.0
74,2018-07-09,1457.0
75,2018-07-10,1530.0
76,2018-07-11,1495.0
77,2018-07-12,1787.0
78,2018-07-13,1627.0
79,2018-07-14,1770.0
80,2018-07-15,1354.0
81,2018-07-16,2084.0
82,2018-07-17,1803.0
83,2018-07-18,1502.0
84,2018-07-19,2093.0
85,2018-07-20,1172.0
86,2018-07-21,2162.0
87,2018-07-22,2015.0
88,2018-07-23,1597.0
89,2018-07-24,1551.0
90,2018-07-25,1062.0
91,2018-07-26,1962.0
92,2018-07-27,2832.0
93,2018-07-28,1481.0
94,2018-07-29,1382.0
95,2018-07-30,85.0
96,2018-07-31,1757.0
97,2018-08-01,2079.0
98,2018-08-02,2008.0
99,2018-08-03,2958.0
100,2018-08-04,2584.0
101,2018-08-05,3106.0
102,2018-08-06,1121.0
103,2018-08-07,1185.0
104,2018-08-08,1375.0
105,2018-08-09,2566.0
106,2018-08-10,1730.0
107,2018-08-11,2616.0
108,2018-08-12,2224.0
109,2018-08-13,2424.0
110,2018-08-14,1598.0
111,2018-08-15,2158.0
112,2018-08-16,1678.0
113,2018-08-17,2686.0
114,2018-08-18,972.0
115,2018-08-19,2595.0
116,2018-08-20,2190.0
117,2018-08-21,1319.0
118,2018-08-22,1852.0
119,2018-08-23,2261.0
120,2018-08-24,32.0
121,2018-08-25,1731.0
122,2018-08-26,51.0
123,2018-08-27,2692.0
124,2018-08-28,1874.0
125,2018-08-29,1266.0
126,2018-08-30,1389.0
127,2018-08-31,2640.0
128,2018-09-01,852.0
129,2018-09-02,811.0
130,2018-09-03,915.0
131,2018-09-04,1374.0
132,2018-09-05,1514.0
133,2018-09-06,983.0
134,2018-09-07,1922.0
135,2018-09-08,2230.0
136,2018-09-09,1872.0
137,2018-09-10,1002.0
138,2018-09-11,829.0
139,2018-09-12,1175.0
140,2018-09-13,1118.0
141,2018-09-14,1125.0
142,2018-09-15,1287.0
143,2018-09-16,1494.0
144,2018-09-17,985.0
145,2018-09-18,1074.0
146,2018-09-19,1195.0
147,2018-09-20,1565.0
148,2018-09-21,1172.0
149,2018-09-22,3596.0
150,2018-09-23,745.0
151,2018-09-24,822.0
152,2018-09-25,853.0
153,2018-09-26,1677.0
154,2018-09-27,1427.0
155,2018-09-28,1068.0
156,2018-09-29,1220.0
157,2018-09-30,2504.0
158,2018-10-01,1330.0
159,2018-10-02,1205.0
160,2018-10-03,1715.0
161,2018-10-04,1895.0
162,2018-10-05,1684.0
163,2018-10-06,1343.0
164,2018-10-07,3344.0
165,2018-10-08,1513.0
166,2018-10-09,1127.0
167,2018-10-10,1330.0
168,2018-10-11,2398.0
169,2018-10-12,1630.0
170,2018-10-13,1714.0
171,2018-10-14,2219.0
172,2018-10-15,1057.0
173,2018-10-16,1630.0
174,2018-10-17,1401.0
175,2018-10-18,1520.0
176,2018-10-19,1815.0
177,2018-10-20,2102.0
178,2018-10-21,2485.0
179,2018-10-22,1239.0
180,2018-10-23,1924.0
181,2018-10-24,1108.0
182,2018-10-25,1669.0
183,2018-10-26,1756.0
184,2018-10-27,2181.0
185,2018-10-28,2834.0
186,2018-10-29,1774.0
187,2018-10-30,1817.0
188,2018-10-31,2418.0
189,2018-11-01,1689.0
190,2018-11-02,2361.0
191,2018-11-03,2466.0
192,2018-11-04,2907.0
193,2018-11-05,1918.0
194,2018-11-06,1939.0
195,2018-11-07,1882.0
196,2018-11-08,2436.0
197,2018-11-09,2671.0
198,2018-11-10,2115.0
199,2018-11-11,2717.0
200,2018-11-12,1705.0
201,2018-11-13,1376.0
202,2018-11-14,1250.0
203,2018-11-15,2082.0
204,2018-11-16,2114.0
205,2018-11-17,3077.0
206,2018-11-18,3373.0
207,2018-11-19,2062.0
208,2018-11-20,2260.0
209,2018-11-21,2101.0
210,2018-11-22,2868.0
211,2018-11-23,1619.0
212,2018-11-24,2428.0
213,2018-11-25,1306.0
214,2018-11-26,1605.0
215,2018-11-27,2027.0
216,2018-11-28,1361.0
217,2018-11-29,2051.0
218,2018-11-30,1577.0
219,2018-12-01,2124.0
220,2018-12-02,2305.0
221,2018-12-03,1993.0
222,2018-12-04,1663.0
223,2018-12-05,1968.0
224,2018-12-06,1962.0
