,ds,y
0,2018-04-26,2635.0
1,2018-04-27,3649.0
2,2018-04-28,3379.0
3,2018-04-29,2851.0
4,2018-04-30,2825.0
5,2018-05-01,3292.0
6,2018-05-02,2660.0
7,2018-05-03,3121.0
8,2018-05-04,2522.0
9,2018-05-05,2551.0
10,2018-05-06,2771.0
11,2018-05-07,2524.0
12,2018-05-08,2591.0
13,2018-05-09,2153.0
14,2018-05-10,3081.0
15,2018-05-11,2950.0
16,2018-05-12,3318.0
17,2018-05-13,2572.0
18,2018-05-14,2966.0
19,2018-05-15,3152.0
20,2018-05-16,3497.0
21,2018-05-17,3066.0
22,2018-05-18,4376.0
23,2018-05-19,4112.0
24,2018-05-20,3098.0
25,2018-05-21,3009.0
26,2018-05-22,3581.0
27,2018-05-23,3772.0
28,2018-05-24,2756.0
29,2018-05-25,3155.0
30,2018-05-26,3121.0
31,2018-05-27,3407.0
32,2018-05-28,3213.0
33,2018-05-29,3466.0
34,2018-05-30,3324.0
35,2018-05-31,3420.0
36,2018-06-01,3513.0
37,2018-06-02,2742.0
38,2018-06-03,3765.0
39,2018-06-04,3585.0
40,2018-06-05,3189.0
41,2018-06-06,2145.0
42,2018-06-07,2146.0
43,2018-06-08,2465.0
44,2018-06-09,2859.0
45,2018-06-10,3432.0
46,2018-06-11,2146.0
47,2018-06-12,3352.0
48,2018-06-13,3335.0
49,2018-06-14,3533.0
50,2018-06-15,3422.0
51,2018-06-16,3313.0
52,2018-06-17,2940.0
53,2018-06-18,3385.0
54,2018-06-19,3560.0
55,2018-06-20,3256.0
56,2018-06-21,3430.0
57,2018-06-22,3290.0
58,2018-06-23,3134.0
59,2018-06-24,3355.0
60,2018-06-25,3127.0
61,2018-06-26,2144.0
62,2018-06-27,2145.0
63,2018-06-28,2145.0
64,2018-06-29,2180.0
65,2018-06-30,2145.0
66,2018-07-01,3090.0
67,2018-07-02,2204.0
68,2018-07-03,2144.0
69,2018-07-04,2183.0
70,2018-07-05,2153.0
71,2018-07-06,2144.0
72,2018-07-07,3275.0
73,2018-07-08,3149.0
74,2018-07-09,3476.0
75,2018-07-10,3562.0
76,2018-07-11,3553.0
77,2018-07-12,3750.0
78,2018-07-13,3641.0
79,2018-07-14,3622.0
80,2018-07-15,3315.0
81,2018-07-16,4037.0
82,2018-07-17,3760.0
83,2018-07-18,3509.0
84,2018-07-19,3993.0
85,2018-07-20,3110.0
86,2018-07-21,3983.0
87,2018-07-22,3883.0
88,2018-07-23,3553.0
89,2018-07-24,3510.0
90,2018-07-25,3069.0
91,2018-07-26,3864.0
92,2018-07-27,4618.0
93,2018-07-28,3358.0
94,2018-07-29,3316.0
95,2018-07-30,2212.0
96,2018-07-31,3800.0
97,2018-08-01,3987.0
98,2018-08-02,3968.0
99,2018-08-03,4762.0
100,2018-08-04,4376.0
101,2018-08-05,4818.0
102,2018-08-06,3150.0
103,2018-08-07,3152.0
104,2018-08-08,3341.0
105,2018-08-09,4339.0
106,2018-08-10,3667.0
