,ds,y
0,2018-04-26,2931.0
1,2018-04-27,9971.0
2,2018-04-28,3521.0
3,2018-04-29,1639.0
4,2018-04-30,1323.0
5,2018-05-01,2581.0
6,2018-05-02,1372.0
7,2018-05-03,2232.0
8,2018-05-04,904.0
9,2018-05-05,833.0
10,2018-05-06,1383.0
11,2018-05-07,952.0
12,2018-05-08,1187.0
13,2018-05-09,21.0
14,2018-05-10,1364.0
15,2018-05-11,2771.0
16,2018-05-12,4125.0
17,2018-05-13,1689.0
18,2018-05-14,3710.0
19,2018-05-15,4313.0
20,2018-05-16,5882.0
21,2018-05-17,4080.0
22,2018-05-18,13958.0
23,2018-05-19,14917.0
24,2018-05-20,4986.0
25,2018-05-21,3989.0
26,2018-05-22,4680.0
27,2018-05-23,6889.0
28,2018-05-24,3470.0
29,2018-05-25,5389.0
30,2018-05-26,4092.0
31,2018-05-27,5347.0
32,2018-05-28,3875.0
33,2018-05-29,6448.0
34,2018-05-30,5519.0
35,2018-05-31,5879.0
36,2018-06-01,6916.0
37,2018-06-02,2946.0
38,2018-06-03,6815.0
39,2018-06-04,6162.0
40,2018-06-05,4486.0
41,2018-06-06,0.0
42,2018-06-07,0.0
43,2018-06-08,1929.0
44,2018-06-09,3130.0
45,2018-06-10,7029.0
46,2018-06-11,0.0
47,2018-06-12,4535.0
48,2018-06-13,6344.0
49,2018-06-14,8316.0
50,2018-06-15,7249.0
51,2018-06-16,7806.0
52,2018-06-17,3544.0
53,2018-06-18,6189.0
54,2018-06-19,6055.0
55,2018-06-20,5665.0
56,2018-06-21,6480.0
57,2018-06-22,5805.0
58,2018-06-23,2996.0
59,2018-06-24,5209.0
60,2018-06-25,3810.0
61,2018-06-26,0.0
62,2018-06-27,0.0
63,2018-06-28,0.0
64,2018-06-29,0.0
65,2018-06-30,0.0
66,2018-07-01,4714.0
67,2018-07-02,172.0
68,2018-07-03,0.0
69,2018-07-04,0.0
70,2018-07-05,0.0
71,2018-07-06,0.0
72,2018-07-07,6775.0
73,2018-07-08,5221.0
74,2018-07-09,6694.0
75,2018-07-10,7253.0
76,2018-07-11,6997.0
77,2018-07-12,7520.0
78,2018-07-13,7432.0
79,2018-07-14,11239.0
80,2018-07-15,6077.0
81,2018-07-16,10551.0
82,2018-07-17,8377.0
83,2018-07-18,7504.0
84,2018-07-19,9484.0
85,2018-07-20,6680.0
86,2018-07-21,12279.0
87,2018-07-22,13418.0
88,2018-07-23,9203.0
89,2018-07-24,9215.0
90,2018-07-25,5666.0
91,2018-07-26,12467.0
92,2018-07-27,16306.0
93,2018-07-28,8073.0
94,2018-07-29,6450.0
